"Prodotti fitosanitari venduti nell'anno 2020 
";;(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2020, art. 16 D.Lgs 150/2012);
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;13;THIOPRON;50
BL;909;POLISOLFURO DI CALCIO POLISENIO;25
BL;1583;MICROTHIOL DISPERSS;34
BL;1850;IDRORAME FLOW;21
BL;2259;PASTA LUMACHICIDA IN GRANI;379
BL;2259;PASTA LUMACHICIDA IN GRANI PFnPE;489
BL;2272;SILLIM;2,5
BL;2272;SILLIM PFnPE;556,5
BL;2307;VECTOR;61
BL;2923;TIOVIT JET;83
BL;2934;MICROSOL 90 PFnPE;0,5
BL;2995;ESCARTOX;240
BL;2995;ESCARTOX PFnPE;742
BL;3065;OLIOCIN;1
BL;3065;OLIOCIN PFnPE;97
BL;3102;OLEOTER PFnPE;8
BL;3132;SEPR-OIL;18,5
BL;3132;SEPR-OIL PFnPE;53
BL;3219;CARAKOL AGRO PFnPE;186
BL;4710;ALIETTE;3
BL;4710;ALIETTE PFnPE;7,55
BL;4896;RIGENAL P;0,4
BL;5152;TIOSPOR WG;2
BL;5299;MIBIOL PFnPE;5
BL;5414;RADICANTE POLVERE TALEE LEGNOSE;0,3
BL;5414;RADICANTE POLVERE TALEE LEGNOSE PFn;2,1
BL;5574;LUMAKIDIN 5G PFnPE;81
BL;6136;GERMON L;5
BL;6321;STIMOLANTE 66F;8
BL;6389;DUECI-FITO RADICANTE PFnPE;0,7
BL;6751;RASEN FLORANID;13,5
BL;6751;RASEN FLORANID PFnPE;18
BL;6873;IDRORAME 193;9
BL;7530;BIOLID E;0,8
BL;7541;APOLLO SC PFnPE;0,1
BL;7764;TIOLENE;150
BL;7916;POLYRAM DF;64
BL;7922;OPALENE;31
BL;8146;GALLERY;0,5
BL;8229;RAPAX;7
BL;8382;ROUNDUP BIOFLOW;29,2
BL;8382;ROUNDUP BIOFLOW PFnPE;71,22
BL;8558;PIRETRO VERDE PFnPE;0,2
BL;8801;SCORE 25 EC;0,75
BL;8837;GERMON BEWURZELUNGSPUDER PER TALEE ;17
BL;8838;GERMON BEWURZELUNGSPUDER PER TALEE ;72
BL;8841;CYREN 5 G;61
BL;8934;SCALA;2
BL;9126;CONCORDE COMBI;10
BL;9210;QUADRIS;4
BL;9244;ZIRAMIT 76 WG;5
BL;9342;DELTRIN;1
BL;9411;RADIP ORMON PFnPE;1,7
BL;9422;EVADE;2,5
BL;9578;SWITCH;3
BL;9668;RUFAST E-FLO;0,04
BL;9705;PREVITER;0,2
BL;9905;THIOCUR 20 EW;0,5
BL;9954;JOKER;512
BL;10029;KING PFnPE;1,13
BL;10117;STRATOS ULTRA;1
BL;10161;ORTIVA;1
BL;10230;LUMAPLUS PFnPE;289
BL;10233;BORDOSEP PFnPE;25
BL;10305;OIKOS PFnPE;0,4
BL;10423;LUMACHICIDA VEBI;35
BL;10423;LUMACHICIDA VEBI PFnPE;191
BL;10456;KLARO ULTRA PFnPE;0,25
BL;10461;DICOTURF PFnPE;2,5
BL;10479;NATURALIS;2
BL;10509;MASTIFF ULTRA;2
BL;10509;MASTIFF ULTRA PFnPE;12,5
BL;10588;BIOPIREN PLUS;4
BL;10604;EMERALD 40 EW PFnPE;14,94
